time,x_cg,z_cg,theta_deg,vx,vz,omega,thrust,vane_angle_deg,target_x,target_z,theta_target_deg,omega_target,ax_target,thrust_cmd,vane_angle_cmd_deg,thrust_force_x,thrust_force_z,vane_force_x,vane_force_z,drag_force_x,drag_force_z,total_force_x,total_force_z,vane_moment,damping_moment,total_moment,x_ddot,z_ddot,theta_ddot,desired_moment,rate_error,rate_p,rate_i,rate_d,rate_ff,mixer_unattainable_moment,motor_saturated,servo_angle_saturated,servo_rate_saturated,mixer_saturated
6.055,-0.06003790245405968,0.9999366385888402,0.6422489169286075,0.1571874462791034,0.00036992752456974494,-0.0801162823765182,14.716341827758527,0.07651331427562363,0.0,1.0,-0.7293041626985509,-0.16756681973753462,-0.12487586894376598,14.714275100085377,0.06553271550941472,0.16495729267917283,14.715417285385662,0.01473832833354561,-0.00016521412158205826,-0.015718744627910338,-3.6992752456974497e-05,0.1639768763848081,0.00021507851162358107,-0.003684813578844283,0.0032046512950607282,-0.00048016228378355494,0.10931791758987207,0.00014338567441572072,-0.014774224116417075,-0.003155997648955098,-0.08745053736101642,-0.003060768807635575,-0.0008931467423451637,0.000797917901025641,-0.0,0.0,0,0,0,0
6.0600000000000005,-0.059249232274724416,0.999938491811105,0.6192761301591571,0.15773403586705276,0.00037064445294182353,-0.08019015349710029,14.716212657278955,0.07514073942984753,0.0,1.0,-0.7364996194971966,-0.165639255251385,-0.1261080536339785,14.714189166702825,0.06411227764399131,0.1590557256234313,14.71535307936591,0.014473873827421734,-0.00015644561783778518,-0.015773403586705276,-3.7064445294182356e-05,0.15775619586414774,0.00015956930277747944,-0.0036186798249108107,0.003207606139884012,-0.0004110736850267988,0.10517079724276517,0.0001063795351849863,-0.012648421077747656,-0.003087563516140162,-0.08544910175428472,-0.0029907185613999654,-0.0008974191974328779,0.000800574242692681,-0.0,0.0,0,0,0,0
6.065,-0.05845793282545808,0.999940347692858,0.5962852258610752,0.15825988985326658,0.00037117635061774846,-0.08025339560248904,14.716086189117947,0.0737621817066155,0.0,1.0,-0.7435741405226044,-0.1636947021995625,-0.12731953257822679,14.714106637413654,0.06268743331262705,0.1531496115679962,14.715289257164624,0.014208269561170921,-0.00014787279586007848,-0.01582598898532666,-3.7117635061774846e-05,0.15153189214384044,0.00010426673370187806,-0.0035522597586488134,0.0032101358240995614,-0.00034212393454925195,0.10102126142922696,6.951115580125203e-05,-0.010526890293823137,-0.0030189189307758026,-0.08344130659707347,-0.0029204457308975714,-0.0009015912627627316,0.0008031180628845003,-0.0,0.0,0,0,0,0
6.07,-0.05766410784465602,0.99994220531239,0.5732792429033625,0.15876499616041273,0.0003715239063967547,-0.08030603005395816,14.715962467136428,0.07237783815736694,0.0,1.0,-0.750527164509246,-0.16173346327843108,-0.1285102095007292,14.714027529717894,0.06125838142184929,0.14723972918090958,14.715225849313997,0.013941553514350483,-0.0001394984069449277,-0.015876499616041272,-3.715239063967547e-05,0.1453047830792188,4.9198516412659473e-05,-0.003485562850880745,0.0032122412021583263,-0.00027332164872241865,0.09686985538614586,3.279901094177298e-05,-0.008409896883766727,-0.0029500734482402887,-0.08142743322447292,-0.0028499601628565524,-0.0009056626344239552,0.0008055493490402188,-0.0,0.0,0,0,0,0
6.075,-0.056867861117469304,0.9999440637518973,0.5502612136557102,0.15924934543734345,0.00037168790145146355,-0.08034807953837698,14.71584153354777,0.07098790606542724,0.0,1.0,-0.7573581474936881,-0.15975584250417407,-0.12967999108710238,14.71395185926255,0.05982532089245663,0.14132685536059592,14.715162885963698,0.01367376370777545,-0.00013132508560996392,-0.015924934543734347,-3.7168790145146355e-05,0.13907568452463703,-5.607912056391947e-06,-0.0034185985817856298,0.0032139231815350795,-0.00020467540025055023,0.0927171230164247,-3.7386080375946314e-06,-0.006297704623093853,-0.00288103662290481,-0.07940776296579709,-0.002779271703802898,-0.000909633022572245,0.0008078681034703328,-0.0,0.0,0,0,0,0
6.08,-0.05606929646220717,0.9999459220979393,0.5272341636106699,0.15971293105242557,0.0003716692084112756,-0.08037956806149245,14.715723428904944,0.0695925829188059,0.0,1.0,-0.7640665628339149,-0.1577621451689688,-0.1308287869879024,14.713879639843706,0.05838845063209087,0.13541176514218328,14.715100396867259,0.013404938198288864,-0.0001233553488658911,-0.01597129310524256,-3.716692084112756e-05,0.13284541023522958,-6.0125402447621836e-05,-0.003351376439633029,0.003215182722459698,-0.00013619371717333087,0.0885636068234864,-4.008360163174789e-05,-0.004190575913025565,-0.0028118180068609985,-0.07738257710747636,-0.0027083901987616727,-0.0009135021514276189,0.0008100743433282931,-0.0,0.0,0,0,0,0
6.085,-0.055268517716774455,0.9999477794418913,0.5042011110077909,0.160155749086543,0.00037146879040311683,-0.08040052094105758,14.715608192088617,0.06819206638296653,0.0,1.0,-0.7706519012263875,-0.15575267779717672,-0.13195650982177776,14.713810883409582,0.05694796950867695,0.1294952316044118,14.715038411368736,0.013135115073530532,-0.0001155915955532475,-0.016015574908654302,-3.7146879040311685e-05,0.12661477176928804,-0.00011432710585788643,-0.0032839059195172936,0.003216020837642303,-6.788508187499046e-05,0.08440984784619203,-7.621807057192429e-05,-0.0020887717499997066,-0.002742427148691708,-0.07535215685611914,-0.00263732548996417,-0.0009172697592704248,0.0008121681005428871,-0.0,0.0,0,0,0,0
6.09,-0.054465628725145585,0.9999496348803916,0.48116506645977086,0.16057779832577396,0.0003710877000502572,-0.08041096479980758,14.715495860296176,0.06678655427368033,0.0,1.0,-0.7771136707208496,-0.15372774810146828,-0.1330630751782349,14.713745600064517,0.055504076323178865,0.1235780257771362,14.714976958389672,0.012864332446725682,-0.00010803610574467997,-0.016057779832577397,-3.710877000502572e-05,0.1203845783912845,-0.00016818648607826143,-0.00321619652209741,0.0032164385919923036,2.420698948933826e-07,0.08025638559418967,-0.00011212432405217428,7.448304458257927e-06,-0.0026728735922102544,-0.07331678330166069,-0.0025660874155581247,-0.0009209355984355079,0.0008141494217833778,-0.0,0.0,0,0,0,0
6.095,-0.05366073332387686,0.9999514875157837,0.4581290325806612,0.1609790802537449,0.00037052707842999633,-0.08041092755828529,14.715386469031698,0.06537624452986764,0.0,1.0,-0.7834513967328873,-0.15168766493892294,-0.13414840162001793,14.713683798073918,0.054056969782701705,0.11766091654942887,14.714916066416347,0.012592628451475104,-0.00010069104021249219,-0.016097908025374492,-3.705270784299964e-05,0.11415563697552948,-0.0002216773317093692,-0.0031482577523377847,0.0032164371023314115,6.817934999362677e-05,0.07610375798368632,-0.00014778488780624614,0.0020978261536500546,-0.002603166875217642,-0.07127673738063765,-0.002494685808322318,-0.0009244994353045398,0.000816018368409216,-0.0,0.0,0,0,0,0
6.1000000000000005,-0.05285393532865854,0.9999533364565536,0.4350960036161703,0.16135959904366334,0.00036978815399096507,-0.08040043842751704,14.715280052096837,0.0639613351864719,0.0,1.0,-0.7896646220542487,-0.14963273826714163,-0.13521241068510284,14.713625483870079,0.052606848473949246,0.11174467057828917,14.714855763487336,0.01232004123655524,-9.355843996146204e-05,-0.016135959904366334,-3.697881539909651e-05,0.10792875191047807,-0.00027477376802397777,-0.0030800991182520165,0.0032160175371006815,0.00013591841884866502,0.07195250127365205,-0.0001831825120159852,0.004182105195343538,-0.0025333165282781563,-0.06923229983962459,-0.0024231304943868608,-0.000927961050296521,0.0008177750164052256,-0.0,0.0,0,0,0,0
6.105,-0.05204533852090838,0.9999551808177608,0.41206896507610874,0.1617193615500316,0.0003688722414308851,-0.08037952790154032,14.715176641582664,0.06254202434740656,0.0,1.0,-0.7957529068609343,-0.14756327910031874,-0.13625502688830807,14.713570662058979,0.0511539108362476,0.10583005219796579,14.714796077181356,0.012046608960735958,-8.664022582685881e-05,-0.01617193615500316,-3.688722414308852e-05,0.10170472500369859,-0.00032745026861425895,-0.0030117301296515514,0.0032151811160616127,0.00020345098641006126,0.06780315000246573,-0.00021830017907617264,0.006260030351078807,-0.002463332073475239,-0.06718375119877842,-0.002351431291957245,-0.0009313202378564599,0.0008194194563384661,-0.0,0.0,0,0,0,0
6.11,-0.051235046634408164,0.9999570197214634,0.38905089336901577,0.16205837730004394,0.00036778074053550423,-0.08034822774978492,14.715076267862434,0.06111851015851169,0.0,1.0,-0.8017158287190622,-0.1454795994653204,-0.13727617772252182,14.713519335427936,0.04969835513499127,0.09991782332989725,14.714737034605452,0.011772369787603834,-7.993819813739942e-05,-0.016205837730004394,-3.677807405355043e-05,0.0954843553874967,-0.0003796816667385126,-0.002943160296896104,0.003213929109991397,0.00027076881309529314,0.06365623692499779,-0.0002531211111590084,0.008331348095239789,-0.002393223023188803,-0.06513137171553549,-0.002279598010043742,-0.0009345768064422367,0.0008209517932971756,-0.0,0.0,0,0,0,0
6.115,-0.05042316334198482,0.9999588522971383,0.36604475543901055,0.16237665848466892,0.0003665151349797092,-0.08030657100930873,14.714978959585277,0.05969099078057164,0.0,1.0,-0.8075529825885212,-0.14338201235776893,-0.13827579365954798,14.713471504954185,0.04824037943513239,0.09400874339327693,14.714678662383458,0.011497361880400661,-7.345403644303267e-05,-0.016237665848466892,-3.665151349797092e-05,0.0892684394252107,-0.0004314431664829203,-0.00287439912964823,0.003212262840372349,0.0003378637107241192,0.05951229295014047,-0.0002876287776552802,0.010395806483819051,-0.0023229988788756534,-0.0630754413484602,-0.0022076404471961073,-0.0009377305785096597,0.0008223721468301137,-0.0,0.0,0,0,0,0
6.12,-0.04960979224223772,0.9999606776820937,0.3430535084049093,0.16267421994941964,0.0003650769910914328,-0.08025459197688964,14.714884743670835,0.05825966436239174,0.0,1.0,-0.8132639808244163,-0.14127083169812105,-0.13925380815057142,14.713427169814338,0.046780181574596166,0.088103569216248,14.714620986644816,0.011221623396876806,-6.718929930731679e-05,-0.016267421994941963,-3.6507699109143285e-05,0.08305777061818284,-0.0004827103535998338,-0.002805456135631895,0.003210183679075586,0.0004047275434436908,0.05537184707878856,-0.0003218069023998892,0.012453155182882793,-0.0022526691298473036,-0.06101623972123141,-0.0021355683902430996,-0.0009407813904957213,0.0008236806508915174,-0.0,0.0,0,0,0,0
6.125,-0.04879503684631366,0.9999624950218766,0.32008009920164804,0.16295107918481358,0.00036346795657943336,-0.08019232620097523,14.714793645304804,0.05682472901391729,0.0,1.0,-0.818848453176317,-0.13914637228777726,-0.14021015762624403,14.713386327394714,0.04531795913806433,0.08220305494773386,14.714564033013684,0.010945192484156076,-6.114542416411183e-05,-0.01629510791848136,-3.634679565794334e-05,0.07685313951340857,-0.0005334592061381705,-0.0027363408193941557,0.003207693048039009,0.00047135222864485345,0.05123542634227238,-0.0003556394707587803,0.014503145496764722,-0.002182243252066383,-0.058954046086802034,-0.002063391613038071,-0.0009437290928000614,0.0008248774537717496,-0.0,0.0,0,0,0,0
6.13,-0.047979000564731034,0.9999643034706728,0.2971274642240525,0.16320725631652494,0.00036168975922563944,-0.08011981047349141,14.714705687935423,0.05538638277943567,0.0,1.0,-0.8243060467853165,-0.1370089497651943,-0.14114478149639262,14.713348973302557,0.04385390943056616,0.07630795196990954,14.714507826598389,0.010668107273619895,-5.532372723834552e-05,-0.016320725631652495,-3.616897592256394e-05,0.07065533361187695,-0.0005836661047718364,-0.002667062681071834,0.0032047924189396565,0.0005377297378678226,0.0471035557412513,-0.00038911073651455764,0.016545530395933004,-0.0021117307069345843,-0.056889139291702875,-0.001991119875209601,-0.0009465735497646465,0.0008259627180396634,-0.0,0.0,0,0,0,0
