time,x,z,theta_deg,vx,vz,omega,cg_x,cg_z,target_x,target_z,ax_cmd,throttle,thrust,theta_control_term,omega_control_term,position_control_term,velocity_control_term,theta_ddot,ax_saturated
8.71,5.469305201658307e-06,1.0,0.00010843841335265977,-1.3009409861644524e-05,0.0,-1.1011501453194771e-06,5.9424570388186485e-06,1.2499999999995524,0.0,1.0,1.939763585377554e-05,0.39999999999999997,14.715,5.299300576198988e-05,-5.505750726597385e-06,1.0938610403316614e-05,-3.902822958493357e-05,-2.9392285034141673e-06,0
8.72,5.34115086662724e-06,1.0,0.00010779066025446252,-1.2815433503106769e-05,0.0,-1.1305424303536189e-06,5.8114763477117025e-06,1.2499999999995577,0.0,1.0,1.9259742953656956e-05,0.39999999999999997,14.715,5.267645388149087e-05,-5.652712151768094e-06,1.068230173325448e-05,-3.8446300509320306e-05,-2.8209944528504884e-06,0
8.73,5.214922505891538e-06,1.0,0.00010712674404864746,-1.26228360735702e-05,0.0,-1.1587523748821237e-06,5.6823511060388e-06,1.249999999999563,0.0,1.0,1.9119578133185745e-05,0.39999999999999997,14.715,5.235200321652388e-05,-5.793761874410619e-06,1.0429845011783076e-05,-3.7868508220710596e-05,-2.7051561222862482e-06,0
8.74,5.090606102969155e-06,1.0,0.00010644732843995929,-1.2431640292238341e-05,0.0,-1.1858039361049862e-06,5.55507019327616e-06,1.2499999999995686,0.0,1.0,1.8977249763112846e-05,0.39999999999999997,14.715,5.2019978114414486e-05,-5.929019680524931e-06,1.018121220593831e-05,-3.7294920876715024e-05,-2.59168406009612e-06,0
8.75,4.968187425023083e-06,1.0,0.00010575306357542365,-1.2241867794607212e-05,0.0,-1.2117207767059473e-06,5.429622213388329e-06,1.2499999999995741,0.0,1.0,1.8832863879631613e-05,0.39999999999999997,14.715,5.168069629693682e-05,-6.058603883529737e-06,9.936374850046166e-06,-3.672560338382164e-05,-2.4805488647421436e-06,0
8.76,4.847652033464974e-06,1.0,0.00010504458621280544,-1.2053539155810897e-05,0.0,-1.2365262653533686e-06,5.305995506166841e-06,1.24999999999958,0.0,1.0,1.8686524215368302e-05,0.39999999999999997,14.715,5.133446894263788e-05,-6.182631326766843e-06,9.695304066929948e-06,-3.6160617467432686e-05,-2.3717211931888377e-06,0
8.77,4.728985294328402e-06,1.0,0.00010432251988873208,-1.1866673913657214e-05,0.0,-1.260243477285257e-06,5.184178158337061e-06,1.2499999999995857,0.0,1.0,1.8538332230256893e-05,0.39999999999999997,14.715,5.098160076899801e-05,-6.3012173864262855e-06,9.457970588656803e-06,-3.560002174097164e-05,-2.2651717690556627e-06,0
8.78,4.612172388414855e-06,1.0,0.0001035874750864348,-1.1681290591354645e-05,0.0,-1.2828951949758137e-06,5.064158014436081e-06,1.2499999999995914,0.0,1.0,1.8388387142291492e-05,0.39999999999999997,14.715,5.062239011440478e-05,-6.414475974879068e-06,9.22434477682971e-06,-3.504387177406393e-05,-2.1608713905127346e-06,0
8.790000000000001,4.497198321215538e-06,1.0,0.00010284004940306284,-1.149740671993173e-05,0.0,-1.3045039088809411e-06,4.9459226874645656e-06,1.2499999999995972,0.0,1.0,1.8236785958149298e-05,0.39999999999999997,14.715,5.025712901991812e-05,-6.522519544404705e-06,8.994396642431076e-06,-3.449222015979519e-05,-2.058790937923925e-06,0
8.8,4.384047932612035e-06,1.0,0.00010208082771652658,-1.1315038860350236e-05,0.0,-1.3250918182601804e-06,4.8294595693154176e-06,1.2499999999996032,0.0,1.0,1.8083623503677727e-05,0.39999999999999997,14.715,4.988610331080527e-05,-6.625459091300902e-06,8.76809586522407e-06,-3.394511658105071e-05,-1.9589013812420806e-06,0
8.81,4.2727059063589e-06,1.0,0.0001013103823518276,-1.1134202625313459e-05,0.0,-1.3446808320726013e-06,4.714755840982107e-06,1.2499999999996092,0.0,1.0,1.7928992454239357e-05,0.39999999999999997,14.715,4.950959267782494e-05,-6.723404160363007e-06,8.5454118127178e-06,-3.3402607875940376e-05,-1.8611737871613866e-06,0
8.82,4.163156779351189e-06,1.0,0.00010052927324683412,-1.0954912700771066e-05,0.0,-1.3632925699442151e-06,4.6017984825495405e-06,1.2499999999996152,0.0,1.0,1.777298336490866e-05,0.39999999999999997,14.715,4.9127870758240556e-05,-6.816462849721076e-06,8.326313558702379e-06,-3.28647381023132e-05,-1.765579326031504e-06,0
8.83,4.055384950679969e-06,1.0,9.973804811746294e-05,-1.0777182867121978e-05,0.0,-1.3809483632045303e-06,4.490574282970315e-06,1.2499999999996212,0.0,1.0,1.7615684700514643e-05,0.39999999999999997,14.715,4.874120521654329e-05,-6.9047418160226516e-06,8.110769901359938e-06,-3.2331548601365933e-05,-1.6720892785376418e-06,0
