variant,refinement_round,refinement_action,candidate_key,refinement_parent_key,parameter_space_distance_from_parent,on_local_refinement_boundary,atc_rat_pit_p,atc_rat_pit_d,atc_ang_pit_p,psc_ne_pos_p,psc_ne_vel_p,moving_mass_assist_gain_m_per_Nm,selection_eligible,corrected_selection_class,worst_settling_time_s,worst_step_overshoot_fraction,worst_overshoot_band_distance,worst_step_target_crossing_count,worst_rise_time_s,worst_final_abs_position_error_m,actuator_effort_index,worst_moving_mass_limiter_duty_percent,robustness_index
moving_mass_assist,3,additional_refinement,moving_mass_assist:atc_rat_pit_p=0.139914917:atc_rat_pit_d=0.01661619456:atc_ang_pit_p=28.2520952:psc_ne_pos_p=0.6250586735:psc_ne_vel_p=0.99206142:moving_mass_assist_gain_m_per_Nm=0.01928975876,moving_mass_assist:atc_rat_pit_p=0.14:atc_rat_pit_d=0.01674863054:atc_ang_pit_p=28.2254192:psc_ne_pos_p=0.6241202624:psc_ne_vel_p=0.9894646882:moving_mass_assist_gain_m_per_Nm=0.01926882112,0.0075505802887560255,False,0.13991491699218753,0.016616194558756292,28.2520952,0.6250586734693878,0.9920614199849737,0.019289758761948116,True,eligible,7.709999999999884,0.07156503782111878,0.02156503782111878,1,2.4549999999999477,0.000300937973791382,2.614945949314069,12.458333333333334,0.0871297977981241
moving_mass_assist,5,additional_refinement,moving_mass_assist:atc_rat_pit_p=0.14:atc_rat_pit_d=0.01672612969:atc_ang_pit_p=28.3840442:psc_ne_pos_p=0.6247302296:psc_ne_vel_p=0.9888178531:moving_mass_assist_gain_m_per_Nm=0.0184975421,moving_mass_assist:atc_rat_pit_p=0.14:atc_rat_pit_d=0.01668523034:atc_ang_pit_p=28.3434092:psc_ne_pos_p=0.6251853134:psc_ne_vel_p=0.9893402517:moving_mass_assist_gain_m_per_Nm=0.01887237142,0.0035389860895792824,True,0.14,0.016726129686785555,28.3840442,0.6247302295918369,0.9888178531179563,0.018497542102867554,True,eligible,7.709999999999884,0.07223054873899981,0.02223054873899981,1,2.444999999999948,5.6368325310751644e-05,2.593210557004098,12.25,0.08688855321316348
moving_mass_assist,5,additional_refinement,moving_mass_assist:atc_rat_pit_p=0.1399408569:atc_rat_pit_d=0.01669256487:atc_ang_pit_p=28.3988942:psc_ne_pos_p=0.6260248724:psc_ne_vel_p=0.9888436796:moving_mass_assist_gain_m_per_Nm=0.01934369595,moving_mass_assist:atc_rat_pit_p=0.14:atc_rat_pit_d=0.01668523034:atc_ang_pit_p=28.3434092:psc_ne_pos_p=0.6251853134:psc_ne_vel_p=0.9893402517:moving_mass_assist_gain_m_per_Nm=0.01887237142,0.004493220371515548,False,0.13994085693359376,0.01669256487197074,28.3988942,0.6260248724489798,0.9888436795642374,0.019343695949021397,True,eligible,7.709999999999884,0.07359210002602601,0.023592100026026006,1,2.4499999999999478,0.0017111161087193238,2.6270835845299203,12.416666666666666,0.0869338379341391
moving_mass_assist,3,additional_refinement,moving_mass_assist:atc_rat_pit_p=0.14:atc_rat_pit_d=0.01641033036:atc_ang_pit_p=28.0090952:psc_ne_pos_p=0.6202372449:psc_ne_vel_p=0.9954705109:moving_mass_assist_gain_m_per_Nm=0.02021283569,moving_mass_assist:atc_rat_pit_p=0.14:atc_rat_pit_d=0.01674863054:atc_ang_pit_p=28.2254192:psc_ne_pos_p=0.6241202624:psc_ne_vel_p=0.9894646882:moving_mass_assist_gain_m_per_Nm=0.01926882112,0.02241543144922487,True,0.14,0.016410330361225425,28.0090952,0.6202372448979593,0.9954705108940646,0.020212835685025042,True,eligible,7.714999999999884,0.06773652818323606,0.017736528183236053,1,2.4649999999999475,0.0002895908527014157,2.6265307242859963,12.25,0.08895888604939435
moving_mass_assist,4,additional_refinement,moving_mass_assist:atc_rat_pit_p=0.14:atc_rat_pit_d=0.0168194896:atc_ang_pit_p=28.2192092:psc_ne_pos_p=0.6249047012:psc_ne_vel_p=0.9892369459:moving_mass_assist_gain_m_per_Nm=0.01946408739,moving_mass_assist:atc_rat_pit_p=0.14:atc_rat_pit_d=0.01674863054:atc_ang_pit_p=28.2254192:psc_ne_pos_p=0.6241202624:psc_ne_vel_p=0.9894646882:moving_mass_assist_gain_m_per_Nm=0.01926882112,0.0035697723903634336,True,0.14,0.016819489597622316,28.2192092,0.6249047011661808,0.9892369459053343,0.01946408739189805,True,eligible,7.714999999999884,0.069887167515017,0.019887167515017,1,2.4499999999999478,0.0008918753785716049,2.6029984777848862,12.583333333333332,0.08824141872468644
moving_mass_assist,4,additional_refinement,moving_mass_assist:atc_rat_pit_p=0.14:atc_rat_pit_d=0.01690601223:atc_ang_pit_p=28.3326092:psc_ne_pos_p=0.6248281706:psc_ne_vel_p=0.9883071938:moving_mass_assist_gain_m_per_Nm=0.01980819299,moving_mass_assist:atc_rat_pit_p=0.14:atc_rat_pit_d=0.01674863054:atc_ang_pit_p=28.2254192:psc_ne_pos_p=0.6241202624:psc_ne_vel_p=0.9894646882:moving_mass_assist_gain_m_per_Nm=0.01926882112,0.00812569635355093,True,0.14,0.016906012231367173,28.3326092,0.6248281705539359,0.9883071938392186,0.019808192990441516,True,eligible,7.714999999999884,0.07056576098953515,0.02056576098953515,1,2.444999999999948,0.0005175813559874509,2.6321137891548183,12.375,0.08687669871110074
moving_mass_assist,6,additional_refinement,moving_mass_assist:atc_rat_pit_p=0.1399182892:atc_rat_pit_d=0.01661617384:atc_ang_pit_p=28.2926087:psc_ne_pos_p=0.6249267948:psc_ne_vel_p=0.989501667:moving_mass_assist_gain_m_per_Nm=0.01855887574,moving_mass_assist:atc_rat_pit_p=0.14:atc_rat_pit_d=0.01662021405:atc_ang_pit_p=28.3003442:psc_ne_pos_p=0.6252531888:psc_ne_vel_p=0.9897992581:moving_mass_assist_gain_m_per_Nm=0.01869872553,0.0017359373687732944,False,0.13991828918457033,0.0166161738397348,28.292608700000002,0.6249267948250731,0.9895016669797144,0.018558875739644976,True,eligible,7.714999999999884,0.07079854020930032,0.020798540209300317,1,2.444999999999948,0.0002726206500639483,2.5862817097393056,11.333333333333332,0.08770508703979593
moving_mass_assist,6,additional_refinement,moving_mass_assist:atc_rat_pit_p=0.14:atc_rat_pit_d=0.01666428341:atc_ang_pit_p=28.2770837:psc_ne_pos_p=0.6249081177:psc_ne_vel_p=0.9902635471:moving_mass_assist_gain_m_per_Nm=0.01891413291,moving_mass_assist:atc_rat_pit_p=0.14:atc_rat_pit_d=0.01662021405:atc_ang_pit_p=28.3003442:psc_ne_pos_p=0.6252531888:psc_ne_vel_p=0.9897992581:moving_mass_assist_gain_m_per_Nm=0.01869872553,0.0025881016911911024,True,0.14,0.016664283407636035,28.277083700000002,0.6249081177113704,0.9902635471450036,0.018914132908511613,True,eligible,7.714999999999884,0.07093966388806505,0.02093966388806505,1,2.4499999999999478,0.001035710014347213,2.597367673114572,12.041666666666668,0.08886869496953695
moving_mass_assist,4,additional_refinement,moving_mass_assist:atc_rat_pit_p=0.14:atc_rat_pit_d=0.01680158836:atc_ang_pit_p=28.2732092:psc_ne_pos_p=0.6224047012:psc_ne_vel_p=0.9869642186:moving_mass_assist_gain_m_per_Nm=0.01884870278,moving_mass_assist:atc_rat_pit_p=0.14:atc_rat_pit_d=0.01674863054:atc_ang_pit_p=28.2254192:psc_ne_pos_p=0.6241202624:psc_ne_vel_p=0.9894646882:moving_mass_assist_gain_m_per_Nm=0.01926882112,0.007899194566298808,True,0.14,0.016801588363054416,28.2732092,0.6224047011661809,0.9869642186326071,0.018848702776513432,True,eligible,7.714999999999884,0.07095423318204874,0.02095423318204874,1,2.4649999999999475,0.001209911537577213,2.579235316922362,12.25,0.08685137456493944
moving_mass_assist,4,additional_refinement,moving_mass_assist:atc_rat_pit_p=0.1398547363:atc_rat_pit_d=0.01667777149:atc_ang_pit_p=28.1571092:psc_ne_pos_p=0.6249174563:psc_ne_vel_p=0.9922844666:moving_mass_assist_gain_m_per_Nm=0.01889695039,moving_mass_assist:atc_rat_pit_p=0.14:atc_rat_pit_d=0.01674863054:atc_ang_pit_p=28.2254192:psc_ne_pos_p=0.6241202624:psc_ne_vel_p=0.9894646882:moving_mass_assist_gain_m_per_Nm=0.01926882112,0.007595141810767154,False,0.139854736328125,0.016677771490626433,28.1571092,0.6249174562682217,0.9922844665664914,0.018896950386891223,True,eligible,7.714999999999884,0.07156864338267033,0.021568643382670324,1,2.4499999999999478,0.00043123847066917076,2.590523594422731,12.166666666666668,0.08701380482247427
